stage,model_family,representation,predictor_count,requires_scaling,used_for_selection,purpose
STAGE_A,DUMMY_PRIOR,NOT_APPLICABLE,0,False,False,SANITY_FLOOR
STAGE_A,LOGISTIC_REGRESSION,RAW_7,7,True,True,LINEAR_BASELINE
STAGE_A,HIST_GRADIENT_BOOSTING,RAW_7,7,False,True,NONLINEAR_TABULAR_BASELINE
STAGE_A,LOGISTIC_REGRESSION,ENGINEERED_14,14,True,True,LINEAR_BASELINE
STAGE_A,HIST_GRADIENT_BOOSTING,ENGINEERED_14,14,False,True,NONLINEAR_TABULAR_BASELINE
STAGE_A,LOGISTIC_REGRESSION,COMBINED_20,20,True,True,LINEAR_BASELINE
STAGE_A,HIST_GRADIENT_BOOSTING,COMBINED_20,20,False,True,NONLINEAR_TABULAR_BASELINE
STAGE_B,DUMMY_PRIOR,NOT_APPLICABLE,0,False,False,SANITY_FLOOR
STAGE_B,LOGISTIC_REGRESSION,RAW_7,7,True,True,LINEAR_BASELINE
STAGE_B,HIST_GRADIENT_BOOSTING,RAW_7,7,False,True,NONLINEAR_TABULAR_BASELINE
STAGE_B,LOGISTIC_REGRESSION,ENGINEERED_14,14,True,True,LINEAR_BASELINE
STAGE_B,HIST_GRADIENT_BOOSTING,ENGINEERED_14,14,False,True,NONLINEAR_TABULAR_BASELINE
STAGE_B,LOGISTIC_REGRESSION,COMBINED_20,20,True,True,LINEAR_BASELINE
STAGE_B,HIST_GRADIENT_BOOSTING,COMBINED_20,20,False,True,NONLINEAR_TABULAR_BASELINE
