stage,metric,role,aggregation_unit
STAGE_A,macro_f1,PRIMARY_MODEL_SELECTION,FaultCode_x_Load_x_SpeedRef
STAGE_A,balanced_accuracy,SECONDARY_AND_TIEBREAKER_1,FaultCode_x_Load_x_SpeedRef
STAGE_A,mcc,SECONDARY_AND_TIEBREAKER_2,FaultCode_x_Load_x_SpeedRef
STAGE_A,per_class_precision_recall_f1,DIAGNOSTIC,FaultCode_x_Load_x_SpeedRef
STAGE_A,confusion_matrix,DIAGNOSTIC,FaultCode_x_Load_x_SpeedRef
STAGE_A,auroc,DIAGNOSTIC_ONLY,FaultCode_x_Load_x_SpeedRef
STAGE_B,macro_f1,PRIMARY_MODEL_SELECTION,FaultCode_x_Load_x_SpeedRef
STAGE_B,balanced_accuracy,SECONDARY_AND_TIEBREAKER_1,FaultCode_x_Load_x_SpeedRef
STAGE_B,per_class_precision_recall_f1,DIAGNOSTIC,FaultCode_x_Load_x_SpeedRef
STAGE_B,confusion_matrix,DIAGNOSTIC,FaultCode_x_Load_x_SpeedRef
SYSTEM,macro_f1_4class,PRIMARY_SYSTEM_LEVEL_REPORTING,FaultCode_x_Load_x_SpeedRef
SYSTEM,balanced_accuracy_4class,SECONDARY_SYSTEM_LEVEL_REPORTING,FaultCode_x_Load_x_SpeedRef
SYSTEM,confusion_matrix_4class,DIAGNOSTIC,FaultCode_x_Load_x_SpeedRef
