experiment_id,experiment_fingerprint,stage,model_family,representation,predictor_count,status,attempt_count,started_utc,completed_utc,model_artifact,metrics_artifact,group_predictions_artifact,error_message,eligible_for_model_selection
BASE-A__DUMMY_PRIOR__NA,0b7cd0416cb4332134f060be23368043c2a5258b7b7bef5e339d0d812bcbe3de,STAGE_A,DUMMY_PRIOR,NOT_APPLICABLE,0,PENDING,0,,,,,,,False
BASE-A__LOGISTIC_REGRESSION__RAW_7,4794f16b2cba3765d5257ac862c347794b1889ab44c98ce39c51f94344be3afd,STAGE_A,LOGISTIC_REGRESSION,RAW_7,7,PENDING,0,,,,,,,True
BASE-A__HIST_GRADIENT_BOOSTING__RAW_7,aa8db14942f7228ca647550f9e84570f1458eeb74ab1d8a8eeef0165e350e3f7,STAGE_A,HIST_GRADIENT_BOOSTING,RAW_7,7,PENDING,0,,,,,,,True
BASE-A__LOGISTIC_REGRESSION__ENGINEERED_14,f79d1bb54ae9ec36bf5afa56347d156d0b1b318304d9ff7578f77b9de36e032b,STAGE_A,LOGISTIC_REGRESSION,ENGINEERED_14,14,PENDING,0,,,,,,,True
BASE-A__HIST_GRADIENT_BOOSTING__ENGINEERED_14,42b85d956a49960025798cc01bd1d18c2cba0e4b6c1dd52d21df1f1b0e7fc8af,STAGE_A,HIST_GRADIENT_BOOSTING,ENGINEERED_14,14,PENDING,0,,,,,,,True
BASE-A__LOGISTIC_REGRESSION__COMBINED_20,5c36f1665660bb8b8592c10b5c7fdd951cb07d785dce03040275e964ce840f00,STAGE_A,LOGISTIC_REGRESSION,COMBINED_20,20,PENDING,0,,,,,,,True
BASE-A__HIST_GRADIENT_BOOSTING__COMBINED_20,8780388a9305befbb17a149d3f02a3d679cfab45187b309be7a42bde09b11cc1,STAGE_A,HIST_GRADIENT_BOOSTING,COMBINED_20,20,PENDING,0,,,,,,,True
BASE-B__DUMMY_PRIOR__NA,c787ac2c3d04fa72d3f840c8b7c27fa04a85e7fc9354adefc0f5bb976190c882,STAGE_B,DUMMY_PRIOR,NOT_APPLICABLE,0,PENDING,0,,,,,,,False
BASE-B__LOGISTIC_REGRESSION__RAW_7,d005e1a581fca960bb7ff1055afe5ddbe73c9291e69ae6f143fa285965963070,STAGE_B,LOGISTIC_REGRESSION,RAW_7,7,PENDING,0,,,,,,,True
BASE-B__HIST_GRADIENT_BOOSTING__RAW_7,e89ec7763172afbbe472a34da009f705bc07b8165eaf7951375924022eea76af,STAGE_B,HIST_GRADIENT_BOOSTING,RAW_7,7,PENDING,0,,,,,,,True
BASE-B__LOGISTIC_REGRESSION__ENGINEERED_14,d290a568823a967cdc2442825a132255d8f3370968f26a19e5287e3e5c6c4cf4,STAGE_B,LOGISTIC_REGRESSION,ENGINEERED_14,14,PENDING,0,,,,,,,True
BASE-B__HIST_GRADIENT_BOOSTING__ENGINEERED_14,09a154bada7d88044efcdb70924602891013c3659777ded33e06e61937cc5cea,STAGE_B,HIST_GRADIENT_BOOSTING,ENGINEERED_14,14,PENDING,0,,,,,,,True
BASE-B__LOGISTIC_REGRESSION__COMBINED_20,d2a7f238b26f58c29c98ea06e38bb3a067a1278c361f02f481bb60f638ef071b,STAGE_B,LOGISTIC_REGRESSION,COMBINED_20,20,PENDING,0,,,,,,,True
BASE-B__HIST_GRADIENT_BOOSTING__COMBINED_20,d1f5f1959e884ad498ec97671742f2c0fdf2163fbb46322372ba2768727deb90,STAGE_B,HIST_GRADIENT_BOOSTING,COMBINED_20,20,PENDING,0,,,,,,,True
