FaultCode,binary_target,location_target,fault_group,severity_index,physical_phase_name
0,HEALTHY,HEALTHY,0,0,HEALTHY
11,FAULT,FAULT_GROUP_1,1,1,UNRESOLVED
12,FAULT,FAULT_GROUP_1,1,2,UNRESOLVED
13,FAULT,FAULT_GROUP_1,1,3,UNRESOLVED
14,FAULT,FAULT_GROUP_1,1,4,UNRESOLVED
15,FAULT,FAULT_GROUP_1,1,5,UNRESOLVED
16,FAULT,FAULT_GROUP_1,1,6,UNRESOLVED
21,FAULT,FAULT_GROUP_2,2,1,UNRESOLVED
22,FAULT,FAULT_GROUP_2,2,2,UNRESOLVED
23,FAULT,FAULT_GROUP_2,2,3,UNRESOLVED
24,FAULT,FAULT_GROUP_2,2,4,UNRESOLVED
25,FAULT,FAULT_GROUP_2,2,5,UNRESOLVED
26,FAULT,FAULT_GROUP_2,2,6,UNRESOLVED
31,FAULT,FAULT_GROUP_3,3,1,UNRESOLVED
32,FAULT,FAULT_GROUP_3,3,2,UNRESOLVED
33,FAULT,FAULT_GROUP_3,3,3,UNRESOLVED
34,FAULT,FAULT_GROUP_3,3,4,UNRESOLVED
35,FAULT,FAULT_GROUP_3,3,5,UNRESOLVED
36,FAULT,FAULT_GROUP_3,3,6,UNRESOLVED
