representation,feature_order,feature,feature_count
RAW_7,1,Currents_Sub1[1].rms,7
RAW_7,2,Currents_Sub1[2].rms,7
RAW_7,3,Currents_Sub1[3].rms,7
RAW_7,4,Currents_Sub2[1].rms,7
RAW_7,5,Currents_Sub2[2].rms,7
RAW_7,6,Currents_Sub2[3].rms,7
RAW_7,7,Speed_mech,7
ENGINEERED_14,1,sub1_mean_rms,14
ENGINEERED_14,2,sub2_mean_rms,14
ENGINEERED_14,3,sub1_phase_imbalance,14
ENGINEERED_14,4,sub2_phase_imbalance,14
ENGINEERED_14,5,cross_phase1_signed_diff_rms,14
ENGINEERED_14,6,cross_phase2_signed_diff_rms,14
ENGINEERED_14,7,cross_phase3_signed_diff_rms,14
ENGINEERED_14,8,cross_phase1_abs_diff_rms,14
ENGINEERED_14,9,cross_phase2_abs_diff_rms,14
ENGINEERED_14,10,cross_phase3_abs_diff_rms,14
ENGINEERED_14,11,cross_phase1_log_ratio,14
ENGINEERED_14,12,cross_phase2_log_ratio,14
ENGINEERED_14,13,cross_phase3_log_ratio,14
ENGINEERED_14,14,Speed_mech,14
COMBINED_20,1,Currents_Sub1[1].rms,20
COMBINED_20,2,Currents_Sub1[2].rms,20
COMBINED_20,3,Currents_Sub1[3].rms,20
COMBINED_20,4,Currents_Sub2[1].rms,20
COMBINED_20,5,Currents_Sub2[2].rms,20
COMBINED_20,6,Currents_Sub2[3].rms,20
COMBINED_20,7,Speed_mech,20
COMBINED_20,8,sub1_mean_rms,20
COMBINED_20,9,sub2_mean_rms,20
COMBINED_20,10,sub1_phase_imbalance,20
COMBINED_20,11,sub2_phase_imbalance,20
COMBINED_20,12,cross_phase1_signed_diff_rms,20
COMBINED_20,13,cross_phase2_signed_diff_rms,20
COMBINED_20,14,cross_phase3_signed_diff_rms,20
COMBINED_20,15,cross_phase1_abs_diff_rms,20
COMBINED_20,16,cross_phase2_abs_diff_rms,20
COMBINED_20,17,cross_phase3_abs_diff_rms,20
COMBINED_20,18,cross_phase1_log_ratio,20
COMBINED_20,19,cross_phase2_log_ratio,20
COMBINED_20,20,cross_phase3_log_ratio,20
