Load,SpeedRef,condition_id,row_count,faultcode_count,primary_split
0,500,L0__SR500,3655,19,SIM_TRAIN
0,600,L0__SR600,3686,19,SIM_TRAIN
0,700,L0__SR700,3698,19,SIM_TRAIN
0,800,L0__SR800,3715,19,SIM_TRAIN
0,900,L0__SR900,3743,19,SIM_VALIDATION
0,1000,L0__SR1000,3743,19,SIM_TRAIN
0,1100,L0__SR1100,3724,19,SIM_TRAIN
0,1200,L0__SR1200,3743,19,SIM_TRAIN
0,1300,L0__SR1300,3743,19,SIM_TRAIN
0,1400,L0__SR1400,3743,19,SIM_TRAIN
0,1500,L0__SR1500,3743,19,SIM_VALIDATION
0,1600,L0__SR1600,3762,19,SIM_TRAIN
0,1700,L0__SR1700,3762,19,SIM_VALIDATION
0,1800,L0__SR1800,3768,19,SIM_TRAIN
0,1900,L0__SR1900,3762,19,SIM_TRAIN
0,2000,L0__SR2000,3781,19,SIM_TRAIN
0,2100,L0__SR2100,3762,19,SIM_TRAIN
0,2200,L0__SR2200,3768,19,SIM_VALIDATION
0,2300,L0__SR2300,3762,19,SIM_VALIDATION
0,2400,L0__SR2400,3765,19,SIM_TRAIN
0,2500,L0__SR2500,3762,19,SIM_TRAIN
0,2600,L0__SR2600,3762,19,SIM_TRAIN
0,2700,L0__SR2700,3762,19,SIM_TRAIN
0,2800,L0__SR2800,3762,19,SIM_TRAIN
0,2900,L0__SR2900,3762,19,SIM_TRAIN
0,3000,L0__SR3000,3765,19,SIM_VALIDATION
0,3100,L0__SR3100,3762,19,SIM_TRAIN
0,3200,L0__SR3200,3781,19,SIM_TRAIN
0,3300,L0__SR3300,3781,19,SIM_TRAIN
0,3400,L0__SR3400,3781,19,SIM_VALIDATION
0,3500,L0__SR3500,3762,19,SIM_TRAIN
0,3600,L0__SR3600,3800,19,SIM_TRAIN
0,3700,L0__SR3700,3781,19,SIM_TRAIN
0,3800,L0__SR3800,3800,19,SIM_TRAIN
0,3900,L0__SR3900,3781,19,SIM_TRAIN
0,4000,L0__SR4000,3781,19,SIM_TRAIN
0,4100,L0__SR4100,3781,19,SIM_TRAIN
0,4200,L0__SR4200,3781,19,SIM_TRAIN
0,4300,L0__SR4300,3794,19,SIM_TRAIN
0,4400,L0__SR4400,3800,19,SIM_VALIDATION
0,4500,L0__SR4500,3781,19,SIM_TRAIN
0,4600,L0__SR4600,3785,19,SIM_VALIDATION
0,4700,L0__SR4700,3781,19,SIM_TRAIN
0,4800,L0__SR4800,3791,19,SIM_TRAIN
0,4900,L0__SR4900,3781,19,SIM_TRAIN
0,5000,L0__SR5000,3382,19,SIM_TRAIN
5,500,L5__SR500,3667,19,SIM_TRAIN
5,600,L5__SR600,3686,19,SIM_TRAIN
5,700,L5__SR700,3689,19,SIM_TRAIN
5,800,L5__SR800,3721,19,SIM_TRAIN
5,900,L5__SR900,3743,19,SIM_TRAIN
5,1000,L5__SR1000,3731,19,SIM_TRAIN
5,1100,L5__SR1100,3730,19,SIM_TRAIN
5,1200,L5__SR1200,3746,19,SIM_TRAIN
5,1300,L5__SR1300,3752,19,SIM_TRAIN
5,1400,L5__SR1400,3743,19,SIM_TRAIN
5,1500,L5__SR1500,3743,19,SIM_TRAIN
5,1600,L5__SR1600,3762,19,SIM_TRAIN
5,1700,L5__SR1700,3762,19,SIM_TRAIN
5,1800,L5__SR1800,3762,19,SIM_TRAIN
5,1900,L5__SR1900,3768,19,SIM_TRAIN
5,2000,L5__SR2000,3781,19,SIM_TRAIN
5,2100,L5__SR2100,3768,19,SIM_TRAIN
5,2200,L5__SR2200,3762,19,SIM_TRAIN
5,2300,L5__SR2300,3762,19,SIM_VALIDATION
5,2400,L5__SR2400,3768,19,SIM_TRAIN
5,2500,L5__SR2500,3762,19,SIM_TRAIN
5,2600,L5__SR2600,3762,19,SIM_VALIDATION
5,2700,L5__SR2700,3762,19,SIM_TRAIN
5,2800,L5__SR2800,3762,19,SIM_TRAIN
5,2900,L5__SR2900,3762,19,SIM_TRAIN
5,3000,L5__SR3000,3762,19,SIM_TRAIN
5,3100,L5__SR3100,3768,19,SIM_VALIDATION
5,3200,L5__SR3200,3781,19,SIM_VALIDATION
5,3300,L5__SR3300,3781,19,SIM_TRAIN
5,3400,L5__SR3400,3781,19,SIM_VALIDATION
5,3500,L5__SR3500,3762,19,SIM_VALIDATION
