primary_split,target_value,row_count,target_type
MEASURED_EXTERNAL_TEST,FAULT,313668,binary_target
MEASURED_EXTERNAL_TEST,HEALTHY,17410,binary_target
SIM_TRAIN,FAULT,1052667,binary_target
SIM_TRAIN,HEALTHY,58468,binary_target
SIM_VALIDATION,FAULT,256227,binary_target
SIM_VALIDATION,HEALTHY,14232,binary_target
MEASURED_EXTERNAL_TEST,FAULT_GROUP_1,104556,location_target
MEASURED_EXTERNAL_TEST,FAULT_GROUP_2,104556,location_target
MEASURED_EXTERNAL_TEST,FAULT_GROUP_3,104556,location_target
MEASURED_EXTERNAL_TEST,HEALTHY,17410,location_target
SIM_TRAIN,FAULT_GROUP_1,350889,location_target
SIM_TRAIN,FAULT_GROUP_2,350889,location_target
SIM_TRAIN,FAULT_GROUP_3,350889,location_target
SIM_TRAIN,HEALTHY,58468,location_target
SIM_VALIDATION,FAULT_GROUP_1,85409,location_target
SIM_VALIDATION,FAULT_GROUP_2,85409,location_target
SIM_VALIDATION,FAULT_GROUP_3,85409,location_target
SIM_VALIDATION,HEALTHY,14232,location_target
